DGCR8 (54487),DGCR8
DHDDS (79947),DHDDS
DHFR (1719),DHFR
DHFR2 (200895),DHFR2
DHPS (1725),DHPS
DHX15 (1665),DHX15
DHX16 (8449),DHX16
DHX33 (56919),DHX33
DHX36 (170506),DHX36
DHX37 (57647),DHX37
DHX38 (9785),DHX38
DHX8 (1659),DHX8
DHX9 (1660),DHX9
DIMT1 (27292),DIMT1
DIS3 (22894),DIS3
DKC1 (1736),DKC1
DLST (1743),DLST
DMAP1 (55929),DMAP1
DNA2 (1763),DNA2
DNAAF10 (116143),DNAAF10
DNAJA1 (3301),DNAJA1
DNAJA3 (9093),DNAJA3
DNAJC11 (55735),DNAJC11
DNAJC17 (55192),DNAJC17
DNAJC8 (22826),DNAJC8
DNAJC9 (23234),DNAJC9
DNM1L (10059),DNM1L
DNM2 (1785),DNM2
DNMT1 (1786),DNMT1
DNTTIP2 (30836),DNTTIP2
DONSON (29980),DONSON
DPAGT1 (1798),DPAGT1
DPH3 (285381),DPH3
DPM3 (54344),DPM3
DR1 (1810),DR1
DROSHA (29102),DROSHA
DSN1 (79980),DSN1
DTL (51514),DTL
DTYMK (1841),DTYMK
DUT (1854),DUT
DUXA (503835),DUXA
DYNC1H1 (1778),DYNC1H1
DYNC1I2 (1781),DYNC1I2
DYNLL1 (8655),DYNLL1
DYNLRB1 (83658),DYNLRB1
E4F1 (1877),E4F1
EAPP (55837),EAPP
EBNA1BP2 (10969),EBNA1BP2
ECD (11319),ECD
ECT2 (1894),ECT2
EDC4 (23644),EDC4
EEF1A1 (1915),EEF1A1
EEF1B2 (1933),EEF1B2
EEF1G (1937),EEF1G
EEF2 (1938),EEF2
EEF2KMT (196483),EEF2KMT
EFL1 (79631),EFL1
EFNA3 (1944),EFNA3
EFTUD2 (9343),EFTUD2
EIF1 (10209),EIF1
EIF1AD (84285),EIF1AD
EIF1AX (1964),EIF1AX
EIF2B1 (1967),EIF2B1
EIF2B2 (8892),EIF2B2
EIF2B3 (8891),EIF2B3
EIF2B4 (8890),EIF2B4
EIF2B5 (8893),EIF2B5
EIF2S1 (1965),EIF2S1
EIF2S2 (8894),EIF2S2
EIF2S3 (1968),EIF2S3
EIF3A (8661),EIF3A
EIF3B (8662),EIF3B
EIF3D (8664),EIF3D
EIF3E (3646),EIF3E
EIF3F (8665),EIF3F
EIF3G (8666),EIF3G
EIF3H (8667),EIF3H
EIF3I (8668),EIF3I
EIF3J (8669),EIF3J
EIF3M (10480),EIF3M
EIF4A1 (1973),EIF4A1
EIF4A3 (9775),EIF4A3
EIF4B (1975),EIF4B
EIF4E (1977),EIF4E
EIF4G1 (1981),EIF4G1
EIF4G2 (1982),EIF4G2
EIF5 (1983),EIF5
EIF5A (1984),EIF5A
EIF5AL1 (143244),EIF5AL1
EIF5B (9669),EIF5B
EIF6 (3692),EIF6
ELAC2 (60528),ELAC2
ELL (8178),ELL
ELOB (6923),ELOB
ELOC (6921),ELOC
ELP1 (8518),ELP1
ELP2 (55250),ELP2
ELP3 (55140),ELP3
ELP4 (26610),ELP4
ELP5 (23587),ELP5
ELP6 (54859),ELP6
EMC7 (56851),EMC7
ENY2 (56943),ENY2
EP400 (57634),EP400
EPOP (100170841),EPOP
EPRS1 (2058),EPRS1
ERCC2 (2068),ERCC2
ERCC3 (2071),ERCC3
ERH (2079),ERH
ERVW-1 (30816),ERVW-1
ESF1 (51575),ESF1
ESPL1 (9700),ESPL1
ESS2 (8220),ESS2
ETF1 (2107),ETF1
EWSR1 (2130),EWSR1
EXOC1 (55763),EXOC1
EXOC1L (644145),EXOC1L
EXOC2 (55770),EXOC2
EXOC3 (11336),EXOC3
EXOC5 (10640),EXOC5
EXOC8 (149371),EXOC8
EXOSC1 (51013),EXOSC1
EXOSC10 (5394),EXOSC10
EXOSC2 (23404),EXOSC2
EXOSC3 (51010),EXOSC3
EXOSC4 (54512),EXOSC4
EXOSC5 (56915),EXOSC5
EXOSC6 (118460),EXOSC6
EXOSC7 (23016),EXOSC7
EXOSC8 (11340),EXOSC8
EXOSC9 (5393),EXOSC9
FAAP100 (80233),FAAP100
FAAP24 (91442),FAAP24
FAM133B (257415),FAM133B
FAM136A (84908),FAM136A
FAM168A (23201),FAM168A
FAM227A (646851),FAM227A
FAM32A (26017),FAM32A
FANCM (57697),FANCM
FARSA (2193),FARSA
FARSB (10056),FARSB
FAU (2197),FAU
FBL (2091),FBL
FBLIM1 (54751),FBLIM1
FBRS (64319),FBRS
FBXO5 (26271),FBXO5
FCF1 (51077),FCF1
FCGR1A (2209),FCGR1A
FDPS (2224),FDPS
FDX2 (112812),FDX2
FDXR (2232),FDXR
FECH (2235),FECH
FEN1 (2237),FEN1
FER1L5 (90342),FER1L5
FERMT3 (83706),FERMT3
FIP1L1 (81608),FIP1L1
