index,epsilon,pvalue,gene,product
BRPF1,0.3530283333333333,0.005141838729614332,BRPF1,0.8080400383843955
MAGI1,0.4128063333333333,0.011053909106813909,MAGI1,0.8076490320129264
RBM18,0.32588766666666663,0.003447936617610441,RBM18,0.8024790625922833
NTC_1803,0.9942171666666668,0.1561733282181977,NTC,0.8017298972332452
JAZF1,0.5492096666666667,0.035133600393165584,JAZF1,0.7987031745937551
NF2,0.3475796666666666,0.0050419412855527476,NF2,0.7985302964640117
PNO1,0.5582751666666667,0.03794371948165379,PNO1,0.7932309086285488
ATF4,0.36376166666666665,0.0066112424694413025,ATF4,0.7928974577372695
NTC_3643,0.4647971666666667,0.01972849208598406,NTC,0.7924355284522305
FMO4,0.3505216666666667,0.005595089358695595,FMO4,0.789442434550937
UBE2E3,0.34160166666666664,0.004927894317035316,UBE2E3,0.7881907162998751
DNAJB4,0.3769183333333333,0.008113196993508417,DNAJB4,0.7880638587465799
NTC_3333,0.7832271666666667,0.0989025241050597,NTC,0.7869808804307532
C21orf91,0.6759171666666666,0.06871328289472907,C21orf91,0.7860641562219881
USP9Y_ENST00000338981.3,0.3411416666666667,0.0050338389934179405,USP9Y,0.783977895941422
APC_P2,0.3915296666666667,0.00997836712985396,APC,0.7834275753201662
CNOT4,0.32741833333333337,0.004061373727574848,CNOT4,0.7829643154950012
CCDC152,0.7002071666666666,0.07705896106597818,CCDC152,0.7794544085458287
TBC1D19,0.3879703333333333,0.009851408508964793,TBC1D19,0.7784631223802605
NTC_1737,0.7282763333333334,0.08600723324619945,NTC,0.7759529601457771
SUMO2,0.4899350000000001,0.02670483245080786,SUMO2,0.7708686981656673
BAX,0.3835296666666667,0.009774799968701849,BAX,0.7708532552929045
PLCG1,0.4159663333333334,0.01406580124440508,PLCG1,0.7703012327049799
ZFP41,0.4038776666666665,0.012556352995289238,ZFP41,0.7678265669830442
FBXO42,0.314325,0.0036421102252971217,FBXO42,0.7665276914937469
IFIT1B,0.3858983333333333,0.010728196135624144,IFIT1B,0.7600164621626287
PDCD1,0.7378963333333335,0.0943980977660189,PDCD1,0.7563708646434067
G3BP2,0.3302251666666667,0.005146675118029266,G3BP2,0.7557114589285027
ZIC2,0.373753,0.009774799968701849,ZIC2,0.7512032099876382
NTC_1094,0.4636703333333334,0.024023782873055868,NTC,0.7508485446046117
SYCP1,0.387153,0.011747587743518216,SYCP1,0.7472251519238974
IFNA6_ENST00000380210.1,0.3658616666666668,0.009154616483735792,IFNA6,0.7457577301474295
NTC_269,0.6749136666666667,0.07885254588832258,NTC,0.7445541475412646
KRTAP7-1,0.8463271666666666,0.13360610325327146,KRTAP7-1,0.7398369527472509
FAM105B,0.4190438333333334,0.01720002401879915,FAM105B,0.7393906692794133
NR5A2_P1,0.35630500000000004,0.008447912641747421,NR5A2,0.7387095499533047
RNF7,0.3508916666666667,0.007950332634413717,RNF7,0.7367373016135338
KRT79_P2,0.5262238333333332,0.039821139688042816,KRT79,0.7366535426712949
MCAM,0.6410703333333334,0.07171992156175241,MCAM,0.7336153710763567
CASC10,0.5062738333333333,0.035610071751580284,CASC10,0.7333007661697394
COL4A4,0.6479696666666667,0.07401472035278353,COL4A4,0.7326475721651378
GLTSCR1L,0.8115271666666665,0.1253467136857591,GLTSCR1L,0.7319058405540935
PORCN_P1,0.4629718333333334,0.02653276026395493,PORCN,0.7297443367333861
NTC_1594,0.3777238333333333,0.011795917748872255,NTC,0.7283528805160927
TIMM22,0.5501218333333333,0.04767869034170421,TIMM22,0.7270826495219734
NTC_184,0.329525,0.006262622568264382,NTC,0.7260239004398671
MTF2,0.3306943333333333,0.006405334693309586,MTF2,0.7253641880334719
C12orf77,0.6008005,0.06295391417314727,C12orf77,0.7215477397168443
SERAC1,0.30358850000000004,0.004220390897050544,SERAC1,0.7209156186251966
G6PC2,0.3207233333333333,0.005675538443358024,G6PC2,0.7203423392419261
