index,epsilon,pvalue,gene,product
NTC_1711,0.43378666666666665,0.0496369810533493,NTC,0.5657422457363861
NHLH1,0.30510666666666664,0.014032647681899869,NHLH1,0.5653200538820936
NTC_2232,0.31164866666666663,0.015446638613912794,NTC,0.5644474733720861
RBL2_P1,0.3144621666666667,0.016139089170268316,RBL2,0.5635542459461131
MORN2,0.43117,0.04951916411072167,MORN2,0.5627745940260991
NBPF15,0.4037866666666667,0.040455918261860783,NBPF15,0.562482069321059
KIF2A,0.3387321666666667,0.021912972801378185,KIF2A,0.5620578439062578
NTC_2317,0.4319021666666666,0.05004327240955283,NTC,0.56175540975325
OR13H1_ENST00000338616.3,0.35871666666666663,0.027276013958744214,OR13H1,0.5611114600438746
TCF7L2,0.2998421666666667,0.013518352887861542,TCF7L2,0.5604278637001933
ZNF585A,0.3634433333333333,0.02877343238121853,ZNF585A,0.560069203442283
SPEN,0.3275288333333334,0.01956544002054101,SPEN,0.5595864116657746
RIPPLY1,0.3970033333333333,0.039437879764414735,RIPPLY1,0.5574269975168343
ZNF23_P2,0.3417133333333333,0.02345478884852651,ZNF23,0.5569136172757755
TMEM27,0.2608053333333333,0.00732776366022244,TMEM27,0.5568268316838134
CCNI2,0.5694966666666667,0.10573123082338602,CCNI2,0.5557129748946226
SPAG9,0.5780955,0.10976350678417868,SPAG9,0.5547069274877453
IFIT1B,0.2953186666666667,0.013283177193513605,IFIT1B,0.5542239611252375
NTC_997,0.4271433333333334,0.050482961174342485,NTC,0.5539430438573937
NTC_431,0.3046453333333334,0.015223334415700313,NTC,0.5536899115363013
PHF2,0.2497633333333333,0.006103848768587502,PHF2,0.5530749850180084
MYO5A,0.2742288333333333,0.009782751992181215,MYO5A,0.5510735235427695
XYLT1,0.2956888333333333,0.013725672358917126,XYLT1,0.5507105087256711
ZNF488_P1,0.3269033333333333,0.02069159936382932,ZNF488,0.5505725355132693
LEPR,0.4757900000000001,0.07042134612805141,LEPR,0.5482507603974076
MAP2K6,0.2954916666666667,0.014032647681899869,MAP2K6,0.5475048013428407
NTC_124,0.37202,0.03381221092032564,NTC,0.5472140506977197
NTC_2370,0.34601166666666666,0.026221602763887845,NTC,0.5471623540487887
