gene name,log2 fold change of elderly vs adult,ratio of cells express this gene in elderly,ratio of cells express this gene in adult,Wilcox's p-value,q-value,cell type
DNM3,0.550961448,0.274,0.236,5.2E-13,1.6E-08,micro
SMAD5,0.5435845,0.346,0.253,4.8E-13,1.4E-08,inb-sv2c
CIAO2B,-0.674575734,0.182,0.271,4.8E-13,1.4E-08,inb-sv2c
ADAMTS9,-1.452753238,0.244,0.284,4.6E-13,1.4E-08,endo
TMEM244,0.57577469,0.27,0.219,4.5E-13,1.4E-08,L5/6-CC
NDUFS2,-0.622180836,0.341,0.428,4.5E-13,1.3E-08,inb-sv2c
NDUFA12,-0.58557579,0.273,0.362,4.4E-13,1.3E-08,inb-sv2c
CADM4,-0.704225756,0.255,0.342,4.3E-13,1.3E-08,inb-sv2c
RANBP1,-0.61590938,0.195,0.284,3.9E-13,1.2E-08,inb-sv2c
EPC2,0.672178847,0.412,0.394,3.8E-13,1.1E-08,inb-sst
FANCC,0.518457746,0.29,0.24,3.8E-13,1.1E-08,L5/6
MRPS36,-0.503395978,0.199,0.262,3.5E-13,1.1E-08,L5/6
SP4,0.550782928,0.327,0.278,3.4E-13,1.0E-08,L5/6
NDUFA4L2,-0.605188879,0.368,0.393,3.1E-13,9.2E-09,endo
ACAA1,-0.639478107,0.204,0.291,3.0E-13,8.9E-09,inb-sv2c
RGS4,-0.623990388,0.198,0.294,2.8E-13,8.3E-09,inb-sv2c
MSC-AS1,0.572595181,0.322,0.267,2.3E-13,6.8E-09,L5/6-CC
AJ009632.2,0.637601075,0.313,0.264,2.2E-13,6.6E-09,L5/6-CC
REEP5,-0.502525058,0.544,0.605,2.2E-13,6.6E-09,inb-sv2c
PSMC5,-0.650111714,0.239,0.326,2.1E-13,6.1E-09,inb-sv2c
MAATS1,0.530564255,0.275,0.221,2.0E-13,5.9E-09,L5/6-CC
IRF2,0.617624321,0.261,0.211,1.4E-13,4.3E-09,L5/6
RAD51B,0.50366597,0.317,0.268,1.4E-13,4.2E-09,L5/6
AQP4-AS1,0.550228246,0.47,0.383,1.4E-13,4.2E-09,inb-sv2c
CCDC3,0.523671192,0.34,0.297,1.4E-13,4.0E-09,endo
RPS24,-0.521696353,0.487,0.572,1.3E-13,3.7E-09,inb-sv2c
COX6C,-0.596908771,0.485,0.553,1.2E-13,3.6E-09,inb-sv2c
CCT7,-0.612022749,0.189,0.279,1.2E-13,3.5E-09,inb-sv2c
EMC7,-0.718997667,0.196,0.284,1.2E-13,3.5E-09,inb-sv2c
C1QL1,-0.547612212,0.284,0.338,1.1E-13,3.4E-09,inb-pv
NR6A1,0.505022701,0.384,0.347,1.1E-13,3.3E-09,inb-sst
TAGLN3,-0.587929522,0.506,0.584,1.1E-13,3.1E-09,inb-sv2c
NDUFS3,-0.709651525,0.19,0.279,1.0E-13,3.0E-09,inb-sv2c
MPC2,-0.619946491,0.245,0.344,9.9E-14,2.9E-09,inb-sv2c
PPARG,0.685317782,0.302,0.26,9.7E-14,2.9E-09,inb-sst
SEMA6C,-0.814408941,0.173,0.258,9.4E-14,2.8E-09,inb-sv2c
STAG3,0.653008118,0.266,0.215,9.1E-14,2.7E-09,L5/6-CC
MYL12B,-0.788526956,0.232,0.327,9.0E-14,2.7E-09,inb-sv2c
RPL27,-0.651168471,0.255,0.35,8.9E-14,2.7E-09,inb-sv2c
RPS8,-0.619837022,0.391,0.482,8.1E-14,2.4E-09,inb-sv2c
CERS6,0.51377225,0.332,0.284,8.0E-14,2.4E-09,endo
ARF3,-0.53217208,0.397,0.488,7.9E-14,2.3E-09,inb-sv2c
TMEM9B,-0.696342881,0.215,0.309,7.8E-14,2.3E-09,inb-sv2c
BMPR1A,0.545247925,0.256,0.207,7.6E-14,2.3E-09,endo
LTBP1,0.737588959,0.254,0.207,7.0E-14,2.1E-09,endo
TBRG1,-0.558708869,0.332,0.428,6.9E-14,2.0E-09,inb-sv2c
GAS7,0.532872457,0.295,0.259,5.9E-14,1.7E-09,micro
NEIL1,-0.625608979,0.242,0.338,5.7E-14,1.7E-09,inb-sv2c
GABRB2,0.623392651,0.353,0.308,5.2E-14,1.5E-09,endo
SLC4A8,-0.527295406,0.446,0.537,5.1E-14,1.5E-09,inb-sv2c
VDAC1,-0.577130971,0.383,0.475,5.0E-14,1.5E-09,inb-sv2c
ATP5IF1,-0.571636024,0.433,0.525,4.9E-14,1.5E-09,inb-sv2c
EGFL7,-0.549607003,0.159,0.251,4.9E-14,1.5E-09,inb-sv2c
CDIPT,-0.537769865,0.195,0.29,4.7E-14,1.4E-09,inb-sv2c
ZNF189,0.544015055,0.44,0.412,4.3E-14,1.3E-09,L5/6-CC
UBL5,-0.641991582,0.267,0.367,4.1E-14,1.2E-09,inb-sv2c
H1FX,-0.905338583,0.216,0.307,4.0E-14,1.2E-09,inb-sv2c
WBP2,-0.61645242,0.346,0.445,3.7E-14,1.1E-09,inb-sv2c
BLOC1S1,-0.717549824,0.173,0.265,3.7E-14,1.1E-09,inb-sv2c
KAZN,0.523295665,0.382,0.336,3.7E-14,1.1E-09,endo
PSMC1,-0.718417135,0.273,0.365,3.7E-14,1.1E-09,inb-sv2c
ERLEC1,-0.670949092,0.316,0.41,3.7E-14,1.1E-09,inb-sv2c
TECR,-0.659285918,0.286,0.374,3.6E-14,1.1E-09,inb-sv2c
NAGPA,-0.737566687,0.274,0.37,3.5E-14,1.0E-09,inb-sv2c
CAMK2N1,-0.657863794,0.481,0.561,3.3E-14,9.9E-10,inb-sv2c
SLC35E1,-0.514923483,0.201,0.266,3.2E-14,9.6E-10,L5/6
PATJ,0.642576508,0.258,0.21,3.1E-14,9.1E-10,endo
PALLD,0.584103157,0.253,0.203,3.0E-14,8.8E-10,L5/6
SLC4A3,-0.562672545,0.312,0.41,2.9E-14,8.6E-10,inb-sv2c
BSG,-0.550664401,0.374,0.462,2.6E-14,7.8E-10,inb-sv2c
SQLE,-0.685332774,0.268,0.367,2.4E-14,7.2E-10,inb-sv2c
SKP1,-0.525212245,0.559,0.627,2.4E-14,7.2E-10,inb-sv2c
EEF2,-0.564206025,0.322,0.425,2.3E-14,7.0E-10,inb-sv2c
CCDC3,0.514061586,0.471,0.381,2.3E-14,6.9E-10,inb-sv2c
AP000787.1,0.501768831,0.43,0.387,2.2E-14,6.4E-10,L5/6-CC
HAX1,-0.842793133,0.177,0.268,2.0E-14,5.9E-10,inb-sv2c
NBL1,-0.694520644,0.189,0.284,1.9E-14,5.8E-10,inb-sv2c
AC245060.5,0.527777427,0.252,0.163,1.9E-14,5.6E-10,inb-sv2c
MYL6B,-0.5892653,0.349,0.444,1.9E-14,5.6E-10,inb-sv2c
AF279873.3,0.726069985,0.286,0.2,1.8E-14,5.4E-10,inb-sv2c
TMA7,-0.52678341,0.404,0.503,1.7E-14,5.2E-10,inb-sv2c
GSTM3,-0.690671212,0.19,0.253,1.7E-14,5.1E-10,L5/6
EIF3K,-0.618113773,0.321,0.417,1.7E-14,5.0E-10,inb-sv2c
PSMD7,-0.651316849,0.222,0.322,1.6E-14,4.9E-10,inb-sv2c
MVD,-0.67851257,0.235,0.33,1.6E-14,4.8E-10,inb-sv2c
LRP1B,0.609768467,0.392,0.346,1.6E-14,4.7E-10,endo
FEZ1,-0.513388191,0.517,0.588,1.6E-14,4.7E-10,inb-sv2c
SNHG7,-0.784938843,0.168,0.257,1.5E-14,4.6E-10,inb-sv2c
NDUFS5,-0.570530034,0.353,0.455,1.5E-14,4.4E-10,inb-sv2c
MSMO1,-0.779863849,0.184,0.276,1.5E-14,4.3E-10,inb-sv2c
SLC2A3,0.525494578,0.42,0.369,1.4E-14,4.2E-10,endo
ANKRD13D,-0.654185345,0.31,0.403,1.4E-14,4.1E-10,inb-sv2c
CYP46A1,-0.517834115,0.353,0.447,1.4E-14,4.1E-10,inb-sv2c
TMPO,0.509498122,0.4,0.352,1.3E-14,3.9E-10,L5/6-CC
HNRNPA1,-0.684175762,0.297,0.396,1.2E-14,3.4E-10,inb-sv2c
NRSN2,-0.661054404,0.287,0.384,1.1E-14,3.2E-10,inb-sv2c
CA3,0.61148926,0.352,0.3,1.1E-14,3.1E-10,L5/6-CC
MIR137HG,0.599753966,0.434,0.412,1.0E-14,3.1E-10,inb-sst
GRM8,0.55686488,0.457,0.419,1.0E-14,3.0E-10,L5/6-CC
PCMT1,-0.570244564,0.469,0.556,1.0E-14,3.0E-10,inb-sv2c
GPSM2,0.616144615,0.307,0.255,9.9E-15,2.9E-10,L5/6-CC
AC016042.1,0.676262791,0.296,0.244,9.7E-15,2.9E-10,L5/6
PTPRM,0.613994617,0.404,0.36,9.5E-15,2.8E-10,L5/6-CC
ADARB2,0.55178819,0.274,0.225,9.4E-15,2.8E-10,endo
SCRG1,-0.789460568,0.208,0.301,9.2E-15,2.7E-10,inb-sv2c
TBCB,-0.677682159,0.234,0.331,9.0E-15,2.7E-10,inb-sv2c
MAP2K2,-0.708055575,0.269,0.366,8.9E-15,2.6E-10,inb-sv2c
BRK1,-0.682535407,0.247,0.349,8.4E-15,2.5E-10,inb-sv2c
SLC5A3,0.534311307,0.348,0.295,8.3E-15,2.5E-10,L5/6-CC
TCERG1L,0.534855187,0.403,0.304,7.6E-15,2.3E-10,inb-sv2c
SLC15A2,0.52840224,0.257,0.2,6.8E-15,2.0E-10,inb-pv
AC021231.1,0.707044397,0.265,0.211,6.4E-15,1.9E-10,L5/6-CC
KCNK3,-0.632664902,0.25,0.347,6.4E-15,1.9E-10,inb-sv2c
AL157396.1,0.682727527,0.251,0.161,6.4E-15,1.9E-10,inb-sv2c
NDUFA5,-0.60693737,0.371,0.469,5.8E-15,1.7E-10,inb-sv2c
OAZ2,-0.522630891,0.24,0.313,5.5E-15,1.6E-10,L5/6
ROBO1,0.829182489,0.286,0.234,5.5E-15,1.6E-10,endo
SCN1A-AS1,0.505509442,0.5,0.463,5.4E-15,1.6E-10,L5/6-CC
RPS25,-0.693128506,0.364,0.46,5.1E-15,1.5E-10,inb-sv2c
RBIS,-0.556581913,0.225,0.297,4.9E-15,1.5E-10,L5/6
RUNX2,0.780507279,0.267,0.221,4.8E-15,1.4E-10,inb-sst
RPS2,-0.543591519,0.326,0.429,4.8E-15,1.4E-10,inb-sv2c
GTF2H5,-0.510943508,0.196,0.255,4.5E-15,1.3E-10,inb-pv
BTF3,-0.736003091,0.216,0.317,4.3E-15,1.3E-10,inb-sv2c
MRFAP1,-0.674723001,0.294,0.401,4.0E-15,1.2E-10,inb-sv2c
MANSC1,-0.529952343,0.2,0.268,3.9E-15,1.2E-10,L5/6
TCEA2,-0.671609754,0.257,0.361,3.7E-15,1.1E-10,inb-sv2c
RPLP2,-0.590326876,0.335,0.444,3.6E-15,1.1E-10,inb-sv2c
POT1-AS1,0.676097699,0.28,0.232,3.2E-15,9.6E-11,inb-sst
MLLT11,-0.695384725,0.329,0.433,3.2E-15,9.4E-11,inb-sv2c
DIRAS1,-0.587209192,0.309,0.413,3.0E-15,8.8E-11,inb-sv2c
ENO1,-0.662039591,0.324,0.416,3.0E-15,8.8E-11,inb-sv2c
SUMO2,-0.661812077,0.395,0.487,2.9E-15,8.6E-11,inb-sv2c
CNPY2,-0.53267312,0.364,0.47,2.9E-15,8.5E-11,inb-sv2c
ZNF516,0.514075689,0.307,0.252,2.6E-15,7.8E-11,L5/6
AL078459.1,0.55690584,0.356,0.301,2.6E-15,7.6E-11,L5/6-CC
COX7A2L,-0.623046725,0.33,0.435,2.0E-15,6.1E-11,inb-sv2c
LSM4,-0.927780594,0.171,0.265,1.9E-15,5.7E-11,inb-sv2c
UBE2Q1,-0.540584465,0.213,0.28,1.9E-15,5.5E-11,L5/6-CC
PLOD2,0.578263757,0.315,0.257,1.8E-15,5.2E-11,L5/6-CC
TRIM36,-0.508570194,0.216,0.286,1.7E-15,5.2E-11,L5/6
FILIP1,-0.511817747,0.313,0.39,1.7E-15,5.0E-11,L5/6
NAT14,-0.717704352,0.165,0.26,1.6E-15,4.8E-11,inb-sv2c
AC099788.1,0.679842139,0.255,0.2,1.5E-15,4.5E-11,L5/6-CC
C18orf32,-0.614972624,0.352,0.45,1.5E-15,4.4E-11,inb-sv2c
ZNF862,-0.668275519,0.283,0.385,1.5E-15,4.4E-11,inb-sv2c
SGCB,-0.533609447,0.193,0.251,1.4E-15,4.3E-11,inb-pv
RPL21,-0.636752897,0.423,0.514,1.3E-15,3.9E-11,inb-sv2c
TKT,-0.820166172,0.234,0.334,1.2E-15,3.6E-11,inb-sv2c
N4BP2,0.649046534,0.265,0.208,1.1E-15,3.3E-11,L5/6-CC
NDUFA8,-0.792368477,0.221,0.318,1.1E-15,3.2E-11,inb-sv2c
SNTG2,0.611843015,0.332,0.278,1.0E-15,3.0E-11,L5/6-CC
AL133346.1,0.755971092,0.271,0.179,1.0E-15,3.0E-11,inb-sv2c
SLC25A22,-0.655083929,0.215,0.284,9.8E-16,2.9E-11,L5/6
TNNI3K,0.65171206,0.363,0.264,8.7E-16,2.6E-11,inb-sv2c
CABP1,-0.51320275,0.562,0.635,8.6E-16,2.5E-11,inb-sv2c
PRKD1,0.58832829,0.525,0.43,8.1E-16,2.4E-11,inb-sv2c
SLIT2,0.520357465,0.464,0.422,7.7E-16,2.3E-11,inb-sst
LYPD6B,0.502213358,0.469,0.368,7.5E-16,2.2E-11,inb-sv2c
UQCC2,-0.538817666,0.277,0.353,7.5E-16,2.2E-11,L5/6
BEGAIN,-0.517140811,0.223,0.298,7.3E-16,2.2E-11,L5/6
PPP6R1,-0.514321654,0.222,0.295,6.9E-16,2.1E-11,L5/6
MRPS24,-0.691850928,0.162,0.26,6.7E-16,2.0E-11,inb-sv2c
DYNLL1,-0.523216551,0.585,0.65,6.1E-16,1.8E-11,inb-sv2c
BNIP3,-0.700655988,0.308,0.411,6.0E-16,1.8E-11,inb-sv2c
TUBB4B,-0.772591528,0.215,0.316,5.7E-16,1.7E-11,inb-sv2c
UQCRB,-0.575702911,0.446,0.541,5.6E-16,1.7E-11,inb-sv2c
COPE,-0.681688652,0.219,0.32,5.0E-16,1.5E-11,inb-sv2c
HHAT,0.526049003,0.375,0.318,5.0E-16,1.5E-11,L5/6-CC
RCL1,0.547458575,0.321,0.262,4.9E-16,1.5E-11,L5/6
ZMAT2,-0.505421523,0.206,0.28,4.8E-16,1.4E-11,L5/6
GAS6,-0.519026688,0.226,0.282,4.8E-16,1.4E-11,inb-vip
POT1-AS1,0.536230299,0.426,0.378,4.6E-16,1.4E-11,L5/6-CC
FANCL,0.557235275,0.297,0.197,4.2E-16,1.2E-11,inb-sv2c
GNB2,-0.545058879,0.217,0.291,3.9E-16,1.2E-11,L5/6
CACHD1,0.729382194,0.257,0.203,3.7E-16,1.1E-11,L5/6
EEF1G,-0.537726926,0.269,0.376,3.6E-16,1.1E-11,inb-sv2c
AC103855.2,0.714528309,0.301,0.245,3.6E-16,1.1E-11,L5/6-CC
FAM91A1,0.858642757,0.305,0.254,3.6E-16,1.1E-11,endo
TOMM40,-0.752463789,0.193,0.293,3.2E-16,9.4E-12,inb-sv2c
CRIM1,0.505035472,0.315,2.56E-01,3.11E-16,9.24E-12,opc
VPS9D1,-0.582647886,0.351,0.448,3.1E-16,9.1E-12,inb-sv2c
CD81,-0.775455935,0.322,0.423,2.9E-16,8.8E-12,inb-sv2c
AC021231.1,0.574083543,0.261,0.206,2.8E-16,8.5E-12,inb-pv
KAT2B,0.561681364,0.317,0.259,2.6E-16,7.7E-12,L5/6
ATXN7L3B,-0.67071665,0.277,0.354,2.6E-16,7.6E-12,L5/6
TLE2,-0.551352627,0.504,0.59,2.5E-16,7.5E-12,inb-sv2c
UQCRC1,-0.664535348,0.247,0.351,2.5E-16,7.3E-12,inb-sv2c
SELENOK,-1.021857725,0.165,0.257,2.4E-16,7.2E-12,inb-sv2c
RETREG2,-0.663113449,0.335,0.438,2.4E-16,7.2E-12,inb-sv2c
RNH1,-0.750968719,0.251,0.352,2.3E-16,7.0E-12,inb-sv2c
NME2,-0.636103497,0.301,0.409,2.3E-16,6.7E-12,inb-sv2c
RPL28,-0.51923442,0.491,0.574,2.1E-16,6.4E-12,inb-sv2c
AC002460.2,0.619608424,0.284,0.225,2.0E-16,5.9E-12,L5/6
TRAPPC3,-0.510743929,0.198,0.258,1.8E-16,5.4E-12,inb-pv
GPER1,-0.522189692,0.197,0.251,1.8E-16,5.4E-12,endo
FBXL15,-0.835833763,0.18,0.28,1.7E-16,5.1E-12,inb-sv2c
ARL2BP,-0.551471163,0.19,0.251,1.7E-16,5.1E-12,inb-pv
ZFAS1,-0.503412959,0.199,0.263,1.7E-16,5.0E-12,inb-pv
CHST1,-0.570489989,0.209,0.264,1.7E-16,5.0E-12,inb-vip
NEUROD2,-0.516655818,0.226,0.3,1.6E-16,4.9E-12,L5/6
DISP1,0.673384391,0.29,0.235,1.6E-16,4.8E-12,L5/6
NEK7,0.664908182,0.304,0.247,1.6E-16,4.8E-12,L5/6-CC
FAM85B,0.72074686,0.317,0.263,1.5E-16,4.5E-12,L5/6-CC
LINC00672,-0.58720328,0.192,0.262,1.5E-16,4.4E-12,L5/6
DNAH7,0.507076499,0.279,0.221,1.4E-16,4.1E-12,inb-pv
ZNF407,0.530433542,0.3,0.256,1.3E-16,3.9E-12,micro
NDUFA11,-0.627548475,0.233,0.345,1.3E-16,3.8E-12,inb-sv2c
AL589693.1,0.540421549,0.276,0.223,1.2E-16,3.7E-12,inb-vip
SPSB3,-0.805622288,0.21,0.308,1.2E-16,3.6E-12,inb-sv2c
RPL32,-0.524914333,0.476,0.579,1.2E-16,3.6E-12,inb-sv2c
NDUFS6,-0.573227294,0.207,0.314,1.2E-16,3.6E-12,inb-sv2c
NDUFAB1,-0.628723535,0.242,0.351,1.2E-16,3.6E-12,inb-sv2c
ARPP19,-0.675677352,0.442,0.544,1.2E-16,3.5E-12,inb-sv2c
ARFGAP2,-0.658235512,0.229,0.334,1.1E-16,3.3E-12,inb-sv2c
MCRIP1,-0.623244271,0.176,0.28,1.1E-16,3.2E-12,inb-sv2c
SBDS,-0.607242786,0.196,0.268,1.0E-16,3.1E-12,L5/6
B2M,-0.592307751,0.261,0.281,1.0E-16,3.0E-12,L2/3
IAH1,-0.535293201,0.241,0.319,9.7E-17,2.9E-12,L5/6
COMT,-0.52650728,0.202,0.262,8.1E-17,2.4E-12,inb-pv
PLK2,-0.899828853,0.153,0.251,7.1E-17,2.1E-12,inb-sv2c
RFK,-0.500549765,0.191,0.265,6.8E-17,2.0E-12,L5/6
RPS19BP1,-0.761752224,0.181,0.288,6.7E-17,2.0E-12,inb-sv2c
FAM131B,-0.671910103,0.188,0.257,6.7E-17,2.0E-12,L5/6
FDX2,-0.671349454,0.221,0.327,6.5E-17,1.9E-12,inb-sv2c
BAALC-AS1,0.63439031,0.343,0.288,5.7E-17,1.7E-12,L5/6
MRPS21,-0.775185127,0.303,0.41,5.4E-17,1.6E-12,inb-sv2c
RPL35A,-0.568141444,0.387,0.493,5.2E-17,1.6E-12,inb-sv2c
CPLANE1,0.580413387,0.396,0.346,5.2E-17,1.5E-12,endo
SGTA,-0.626324671,0.2,0.273,4.9E-17,1.4E-12,L5/6
FNIP2,0.500522613,0.304,0.256,4.7E-17,1.4E-12,micro
PICK1,-0.779163771,0.219,0.322,4.6E-17,1.4E-12,inb-sv2c
PAXX,-0.670278045,0.218,0.327,4.4E-17,1.3E-12,inb-sv2c
PDE1A,0.685698284,0.298,0.244,3.9E-17,1.2E-12,endo
P4HTM,-0.695208861,0.362,0.461,3.9E-17,1.2E-12,inb-sv2c
RPL18A,-0.588465223,0.307,0.425,3.9E-17,1.2E-12,inb-sv2c
AC008014.1,0.767604662,0.293,0.236,3.9E-17,1.1E-12,endo
NEK7,0.541190478,0.329,0.268,3.8E-17,1.1E-12,L5/6
LY6E,-0.753072205,0.198,0.304,3.7E-17,1.1E-12,inb-sv2c
N4BP2,0.576312239,0.279,0.177,3.7E-17,1.1E-12,inb-sv2c
HDHD5,-0.541004892,0.209,0.286,3.4E-17,1.0E-12,L5/6
ZNF302,-0.597275429,0.402,0.501,3.4E-17,1.0E-12,inb-sv2c
MTRNR2L12,0.547276573,0.347,0.285,3.3E-17,9.9E-13,inb-vip
RPL23A,-0.79831742,0.276,0.384,3.0E-17,9.0E-13,inb-sv2c
RPS6KC1,0.508795385,0.286,0.238,2.9E-17,8.8E-13,micro
TRAPPC3,-0.536758103,0.194,0.268,2.9E-17,8.6E-13,L5/6
RCAN2,0.62608837,0.352,0.295,2.9E-17,8.6E-13,endo
POMP,-0.698120538,0.239,0.348,2.9E-17,8.6E-13,inb-sv2c
ERLEC1,-0.526991717,0.341,0.421,2.9E-17,8.5E-13,L5/6
CADM4,-0.546994201,0.209,2.64E-01,2.28E-17,6.78E-13,opc
UBE2M,-0.868100326,0.188,0.291,2.2E-17,6.7E-13,inb-sv2c
IGSF8,-0.615303835,0.434,0.523,2.1E-17,6.3E-13,inb-sv2c
SPRY2,-0.53401133,0.194,0.265,2.0E-17,5.9E-13,L5/6
CCS,-0.681455031,0.252,0.362,1.9E-17,5.7E-13,inb-sv2c
RPS15A,-0.676906384,0.286,0.401,1.9E-17,5.5E-13,inb-sv2c
CRY1,0.641403437,0.254,0.193,1.9E-17,5.5E-13,L5/6-CC
SLC39A11,0.575303933,0.32,0.265,1.8E-17,5.2E-13,endo
ISYNA1,-0.551204075,0.208,0.264,1.7E-17,4.9E-13,endo
NDST4,0.521381348,0.261,0.201,1.6E-17,4.8E-13,inb-pv
GRINA,-0.666195935,0.324,0.433,1.4E-17,4.3E-13,inb-sv2c
SLC35C2,-0.571675557,0.196,0.26,1.2E-17,3.5E-13,inb-pv
C19orf25,-0.580769877,0.214,0.288,1.2E-17,3.5E-13,L5/6
FBXL13,0.624676798,0.301,0.242,1.2E-17,3.4E-13,L5/6
AC092329.4,0.656896671,0.294,0.233,1.1E-17,3.3E-13,L5/6-CC
FKBP8,-0.677504733,0.337,0.442,1.1E-17,3.3E-13,inb-sv2c
MTA1,-0.504130152,0.208,0.285,1.1E-17,3.2E-13,L5/6
AC012404.1,0.522521114,0.288,0.224,1.0E-17,3.1E-13,L5/6
CDKN2D,-0.924047417,0.153,0.254,9.9E-18,2.9E-13,inb-sv2c
ZNF385A,-0.5632215,0.2,0.264,9.7E-18,2.9E-13,inb-pv
RHOT2,-0.758606351,0.264,0.37,9.5E-18,2.8E-13,inb-sv2c
CES4A,-0.525462003,0.442,0.541,9.5E-18,2.8E-13,inb-sv2c
CLU,0.538733259,0.698,0.649,9.1E-18,2.7E-13,endo
MRI1,-0.538528264,0.193,0.255,8.1E-18,2.4E-13,inb-pv
ST6GALNAC3,0.563293962,0.509,0.402,7.3E-18,2.2E-13,inb-sv2c
MYRFL,-0.590181864,0.351,0.463,7.0E-18,2.1E-13,inb-sv2c
FHL2,-0.531689106,0.315,0.392,7.0E-18,2.1E-13,L5/6
SNU13,-0.602583937,0.315,0.432,6.3E-18,1.9E-13,inb-sv2c
MIR31HG,0.643061714,0.374,0.312,6.2E-18,1.9E-13,L5/6
ABHD14A,-0.717979441,0.217,0.327,6.2E-18,1.8E-13,inb-sv2c
PSMD2,-0.79915601,0.23,0.338,6.1E-18,1.8E-13,inb-sv2c
NRP1,0.511003014,0.397,0.334,5.9E-18,1.7E-13,L5/6-CC
AFF3,0.797222165,0.367,0.309,5.8E-18,1.7E-13,endo
WAC-AS1,-0.524471026,0.303,0.388,5.7E-18,1.7E-13,L5/6
TMEM160,-0.712489446,0.282,0.393,4.9E-18,1.4E-13,inb-sv2c
NDUFB5,-0.71933362,0.272,0.384,4.8E-18,1.4E-13,inb-sv2c
PINK1,-0.678781184,0.265,0.374,4.7E-18,1.4E-13,inb-sv2c
IRS2,0.589461517,0.376,0.325,4.6E-18,1.4E-13,L5/6
ZNF831,0.57825849,0.423,0.374,4.2E-18,1.3E-13,L5/6-CC
SCG3,-0.576260668,0.569,0.631,4.2E-18,1.3E-13,inb-sv2c
PTPRM,0.508314441,0.533,0.486,4.0E-18,1.2E-13,L5/6
SRPRA,-0.602078747,0.199,0.269,3.9E-18,1.2E-13,L5/6-CC
COPS6,-0.787106531,0.281,0.392,3.7E-18,1.1E-13,inb-sv2c
METTL26,-0.900777713,0.181,0.286,3.5E-18,1.0E-13,inb-sv2c
SLC25A23,-0.909103937,0.251,0.354,3.3E-18,9.9E-14,inb-sv2c
H1FX,-0.589933285,0.19,0.264,3.2E-18,9.4E-14,L5/6
CHGB,-0.697181892,0.304,0.415,2.8E-18,8.3E-14,inb-sv2c
MYO3B,0.580161022,0.256,0.195,2.8E-18,8.3E-14,inb-pv
CSTB,-0.6246563,0.207,0.281,2.6E-18,7.8E-14,L5/6
PIP4K2C,-0.519811635,0.201,0.276,2.6E-18,7.6E-14,L5/6
AL136456.1,0.555457078,0.511,0.471,2.6E-18,7.6E-14,L5/6-CC
USP2,-0.564688827,0.202,0.277,2.3E-18,6.7E-14,L5/6
RAB26,-0.801703161,0.254,0.362,2.2E-18,6.4E-14,inb-sv2c
C1orf216,-0.878658156,0.161,0.264,2.0E-18,6.0E-14,inb-sv2c
CCT2,-0.511595089,0.293,0.377,2.0E-18,5.8E-14,L5/6
SET,-0.6371784,0.338,0.453,1.9E-18,5.7E-14,inb-sv2c
PTPRN,-0.633640366,0.462,0.557,1.9E-18,5.6E-14,inb-sv2c
UQCRH,-0.522091296,0.462,0.564,1.8E-18,5.3E-14,inb-sv2c
AL390198.1,0.650533041,0.321,0.259,1.7E-18,5.1E-14,L5/6-CC
PHPT1,-0.93916157,0.166,0.275,1.7E-18,5.0E-14,inb-sv2c
MRPL51,-0.961441475,0.146,0.251,1.7E-18,4.9E-14,inb-sv2c
CCDC12,-0.544163969,0.24,0.322,1.7E-18,4.9E-14,L5/6
FAM155A,-0.585321437,0.401,0.461,1.6E-18,4.9E-14,endo
SEC61G,-0.943991858,0.209,0.32,1.6E-18,4.8E-14,inb-sv2c
RPL37A,-0.56927291,0.554,0.632,1.6E-18,4.6E-14,inb-sv2c
CHMP5,-0.593400959,0.188,0.251,1.5E-18,4.5E-14,inb-vip
PTOV1,-0.524193226,0.219,0.281,1.4E-18,4.2E-14,inb-vip
PDE1B,-0.599573286,0.247,0.326,1.4E-18,4.1E-14,L5/6
PEG10,-0.560295593,0.276,0.341,1.4E-18,4.0E-14,inb-vip
NWD2,0.813068972,0.258,0.16,1.2E-18,3.7E-14,inb-sv2c
B2M,-0.942840896,0.405,0.492,1.2E-18,3.6E-14,inb-sv2c
RPL10A,-0.702509673,0.324,0.435,1.0E-18,3.0E-14,inb-sv2c
IGSF10,-0.553076089,0.179,0.251,9.6E-19,2.9E-14,L5/6-CC
TPT1,-0.554849274,0.424,0.537,9.6E-19,2.9E-14,inb-sv2c
APMAP,-0.508349723,0.255,0.32,9.6E-19,2.8E-14,inb-vip
CALB2,-0.502030268,0.455,0.504,8.6E-19,2.6E-14,inb-vip
USP2,-0.557667912,0.2,0.266,8.6E-19,2.5E-14,inb-pv
CAPNS1,-0.643903909,0.19,0.267,8.5E-19,2.5E-14,L5/6
ID2,-0.59411711,0.407,0.511,8.1E-19,2.4E-14,inb-sv2c
RHBDD2,-0.783755116,0.314,0.426,8.0E-19,2.4E-14,inb-sv2c
CALN1,-0.701048495,0.273,0.394,7.4E-19,2.2E-14,inb-sv2c
MATR3.1,0.682767194,0.329,0.268,7.2E-19,2.2E-14,L5/6-CC
ZNF276,-0.543933576,0.192,0.27,6.6E-19,2.0E-14,L5/6
GTDC1,0.547009179,0.305,0.256,6.3E-19,1.9E-14,micro
ERBB4,0.649489575,0.581,0.547,6.3E-19,1.9E-14,inb-sst
COX7C,-0.641672003,0.472,0.567,6.1E-19,1.8E-14,inb-sv2c
