query,_id,_score,symbol,notfound
Gys1,14936,15.065784,Gys1,
Slc8a3,110893,14.790761,Slc8a3,
Zc3h18,76014,14.767451,Zc3h18,
Ltv1,353258,14.236501,Ltv1,
Trmt5,76357,14.746298,Trmt5,
D130040H23Rik,211135,21.084198,Zfp781a,
Leng9,243813,15.207356,Leng9,
Flad1,319945,14.693194,Flad1,
Capzb,12345,14.715199,Capzb,
Wdr5b,69544,16.046387,Wdr5b,
Ppfia3,76787,15.083793,Ppfia3,
Nup85,445007,14.71179,Nup85,
Atm,11920,14.781747,Atm,
Ptpn1,19246,14.908077,Ptpn1,
Syde2,214804,14.7289295,Syde2,
Zfp703,353310,20.907745,Zfp703,
Zc3h11a,70579,14.938125,Zc3h11a,
Dnajc5,13002,14.674861,Dnajc5,
Nxph4,104080,15.204866,Nxph4,
Psmb1,19170,14.77995,Psmb1,
Catsper2,212670,15.873094,Catsper2,
Large,16795,17.055033,Large1,
1110001A16Rik,68554,21.084198,Cebpzos,
Hspa5,14828,14.776367,Hspa5,
Atp1b1,11931,15.276467,Atp1b1,
Adcy6,11512,15.311101,Adcy6,
Tbc1d15,66687,14.77101,Tbc1d15,
Rbm8a,60365,14.794385,Rbm8a,
Nrbf2,641340,15.303024,Nrbf2,
Tssc1,380752,14.396978,Eipr1,
Nfatc4,73181,15.113599,Nfatc4,
Nars,70223,14.082372,Nars1,
Ubr7,66622,14.781747,Ubr7,
Cct3,12462,14.211927,Cct3,
Hcfc1,15161,15.553801,Hcfc1,
Eef1g,67160,14.930044,Eef1g,
Stim1,20866,15.303024,Stim1,
Fiz1,23877,15.98149,Fiz1,
Pvr,19294,17.145752,Pvr,
Cml1,66116,17.960428,Nat8f1,
Ppt1,19063,14.254341,Ppt1,
Wsb2,59043,14.798019,Wsb2,
Mepce,231803,15.456647,Mepce,
Limch1,77569,15.197422,Limch1,
Rabl5,67286,15.915448,Ift22,
Angel1,68737,14.808982,Angel1,
Grin2a,14811,15.295001,Grin2a,
Psmd3,22123,14.810819,Psmd3,
Tfip11,54723,14.75331,Tfip11,
Ftsj1,54632,14.9793005,Ftsj1,
Dclk1,13175,15.281735,Dclk1,
Pcyt1b,236899,15.265992,Pcyt1b,
Wnt7b,22422,15.352242,Wnt7b,
Rpl18a,19899,17.798098,Rpl18a,
Pold3,67967,14.589977,Pold3,
Gnas,14683,15.011063,Gnas,
Plk1,18817,14.781747,Plk1,
Pdzrn4,239618,14.774578,Pdzrn4,
Elmo1,140580,14.834928,Elmo1,
Hgs,15239,14.76213,Hgs,
Exoc4,20336,14.792573,Exoc4,
Nr4a1,15370,14.888425,Nr4a1,
Ache,11423,14.956493,Ache,
Mkks,59030,14.859492,Mkks,
Rnd2,11858,14.796202,Rnd2,
Exoc8,102058,14.765675,Exoc8,
Dhrs7,66375,14.805318,Dhrs7,
Otud7b,229603,14.831189,Otud7b,
Cox15,226139,15.5636,Cox15,
Zbtb25,109929,14.829325,Zbtb25,
Scx,20289,15.432711,Scx,
S1pr2,14739,14.890377,S1pr2,
Nxph3,104079,15.2452965,Nxph3,
Rnf5,54197,15.146484,Rnf5,
Bloc1s1,14533,14.888425,Bloc1s1,
Psmd1,70247,14.735849,Psmd1,
Agfg2,231801,15.065784,Agfg2,
Gcat,26912,14.309383,Gcat,
1110004F10Rik,56372,20.907745,1110004F10Rik,
Atp5j,11957,14.298495,Atp5j,
Zranb2,53861,14.75331,Zranb2,
Rnf20,109331,14.825602,Rnf20,
Tyw1,100929,15.898297,Tyw1,
Ankrd40,71452,14.851885,Ankrd40,
Polr2k,17749,14.816343,Polr2k,
Mdm2,17246,14.820039,Mdm2,
Gde1,56209,14.691516,Gde1,
Qk,19317,18.764015,Qki,
Aldoa,11674,15.66588,Aldoa,
Hn1l,52009,14.464797,Jpt2,
Nuak1,77976,14.686496,Nuak1,
Gosr1,53334,14.75331,Gosr1,
Grsf1,231413,14.807149,Grsf1,
St8sia3,20451,14.772793,St8sia3,
Htr5a,15563,15.279097,Htr5a,
B3gat3,72727,14.991911,B3gat3,
Zdhhc24,70605,15.111282,Zdhhc24,
Vim,22352,15.061319,Vim,
Pdxp,57028,15.148865,Pdxp,
Sdha,66945,13.318683,Sdha,
Fam60a,56306,14.529585,Fam60a,
Mis12,67139,14.751554,Mis12,
Ctr9,22083,14.229431,Ctr9,
Lyst,17101,14.760362,Lyst,
Eif3g,53356,14.796202,Eif3g,
Ran,19428,17.193527,Ran,
Ube2d3,66105,15.158431,Ube2d3,
Ric8,101489,18.35969,Ric8a,
Chrnb2,11444,14.884529,Chrnb2,
Crlf3,54394,14.778158,Crlf3,
Rps6ka1,20111,14.79984,Rps6ka1,
Prelid1,66494,15.287025,Prelid1,
Tbc1d10b,68449,15.534422,Tbc1d10b,
E130308A19Rik,230259,21.124914,E130308A19Rik,
Epb4.1l1,13821,19.950861,Epb4.1l1,
Cds2,110911,14.767451,Cds2,
Ppp6c,67857,14.818189,Ppp6c,
Epha10,230735,15.4356785,Epha10,
Sipa1,20469,15.394731,Sipa1,
Zfp90,22751,16.145107,Zfp90,
Etfb,110826,14.313136,Etfb,
Gpr4,319197,15.15364,Gpr4,
Brd3,67382,15.242732,Brd3,
Pex5l,58869,15.204866,Pex5l,
Mrps10,64657,14.245985,Mrps10,
Nle1,217011,14.735849,Nle1,
Psmd8,57296,14.940153,Psmd8,
Sel1l,20338,14.765675,Sel1l,
Pdcd1lg2,58205,15.836183,Pdcd1lg2,
