sgRNA,counts
4930453N24Rik_+_64770735.23-P1P2,988
Pcgf6_-_47050820.23-P1P2,988
Ppp1cc_+_122158297.23-P1P2,988
Ppp1cc_-_122158323.23-P1P2,987
Thop1_-_81070130.23-P1P2,987
Csmd1_-_17535284.23-P1P2,987
Ncor1_+_62458497.23-P2,986
non-targeting_00477,986
Pdzrn3_+_101377936.23-P1P2,986
Akap6_-_52699373.23-P1P2,986
Imp3_-_56937619.23-P1P2,986
Arl2_+_6141047.23-P1P2,986
Pigl_+_62458497.23-P1P2,986
Pfkfb2_+_130715732.23-P1P2,985
Dpm1_+_168230340.23-P1P2,983
Adnp_+_168230340.23-P1,983
Mthfs_-_89211200.23-P1,982
Bfar_-_13672040.23-P1P2,982
Gm2382_+_88719768.23-ENSMUST00000113110.3,982
3110001I22Rik_-_13672040.23-P1P2,982
Stambpl1_+_34192259.23-P1P2,980
Hps1_-_42779923.23-P1P2,980
Dgkg_+_22657166.23-P1P2,979
Rpp30_+_36083777.23-P1P2,979
Jmjd7_+_120033480.23-P2,979
Pla2g4b_+_120033480.23-P2,979
Cfdp1_+_111854285.23-P1P2,979
Abcb6_+_75180338.23-P1P2,978
Hcn4_+_58823350.23-P1P2,978
Uchl5_+_143777325.23-P1P2,978
Bphl_-_34037963.23-P1P2,977
Nars2_-_96951589.23-P1P2,976
Ppil3_+_58445272.23-P1P2,976
Nif3l1_+_58445272.23-P1P2,976
Tmem175_-_108629873.23-P1P2,975
Gm3448_-_15041000.23-P1,974
Gm3448_-_15009632.23-P2,974
Atp6v0e_-_26676487.23-P1P2,974
Stk3_-_35155639.23-P1P2,973
Zc3h4_-_16401450.23-P1P2,973
Slc38a3_-_107667318.23-P1,972
Cxadr_-_78301762.23-P1P2,971
Ttr_+_20665458.23-P1P2,970
Lig3_-_82781232.23-P1P2,970
Ppp3r1_+_17159317.23-P1P2,970
Ccdc159_-_21927687.23-P1P2,969
Cept1_-_106547748.23-P1P2,969
Hps1_+_42779904.23-P1P2,969
Dram2_-_106547748.23-P1P2,969
Atp5s_-_69725001.23-P1P2,969
Slc17a8_-_89621211.23-P1P2,969
Otub2_-_103388740.23-P1P2,968
Cited1_+_102252138.23-P1P2,968
Yipf4_-_74489581.23-P1P2,968
Mettl4_-_94749987.23-P1P2,967
Zfp551_+_12422466.23-P1P2,967
Plin2_-_86669795.23-P1P2,966
Stk35_+_129800743.23-P1P2,966
Cntn3_-_102464439.23-ENSMUST00000032159.6,965
Ndufs8_+_3912670.23-P1P2,965
Fam185a_+_21425058.23-P1P2,964
Metrn_-_25796915.23-P1P2,964
AW209491_+_14630335.23-P1P2,963
Hip1_+_135544873.23-P1P2,963
Pdha1_+_160138306.23-P1P2,963
Cfl2_-_54862765.23-P1P2,963
Pdgfrb_-_61045207.23-P1P2,963
Commd4_+_57158264.23-P1P2,963
Xpnpep1_-_53038537.23-P1P2,961
4931406C07Rik_+_15306077.23-P1P2,961
Zfp617_-_71908698.23-P1,961
Pdzrn4_+_92396831.23-ENSMUST00000169942.2,961
Zfp882_-_71908698.23-P1P2,961
Slc35e3_+_117746342.23-P1P2,960
Srgn_-_62527365.23-P2,959
Acin1_+_54686527.23-P1P2,959
Acaa1b_+_119157019.23-P1P2,959
Spr_-_85137539.23-P1P2,958
Cenpp_+_49652722.23-P1P2,958
Cstb_+_78425763.23-P1P2,958
Spcs1_-_31001384.23-P1P2,957
Glt8d1_-_31001384.23-P1P2,957
Rasgrf2_-_92131510.23-P1P2,956
Dpm1_-_168230307.23-P1P2,955
Zfp575_-_24587608.23-P1P2,955
Ethe1_-_24587608.23-P1P2,955
Adnp_-_168230307.23-P1,955
Rbm4_+_4811589.23-P1P2,953
Bmper_+_23223528.23-P1P2,953
Rbm14_+_4811589.23-P1P2,953
Nxph4_-_127534488.23-P1P2,953
Pafah1b3_-_25297865.23-P1P2,953
Caskin2_+_115813609.23-P1P2,953
